name,order,ISO2_code,theme,theme_timber,use_for_risk,use_for_risk_timber,exclude_from_output,col_type,is_nullable,is_required,corresponding_variable
TMF_deg_2000,410,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2001,420,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2002,430,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2003,440,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2004,450,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2005,460,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2006,470,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2007,480,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2008,490,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2009,500,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2010,510,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2011,520,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2012,530,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2013,540,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2014,550,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2015,560,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2016,570,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2017,580,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2018,590,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2019,600,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2020,610,,disturbance_before,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2021,620,,disturbance_after,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2022,630,,disturbance_after,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2023,640,,disturbance_after,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
TMF_deg_2024,650,,disturbance_after,NA,0,0,0,float32,1,0,g_tmf_deg_per_year_prep
GFC_loss_year_2001,660,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2002,670,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2003,680,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2004,690,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2005,700,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2006,710,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2007,720,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2008,730,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2009,740,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2010,750,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2011,760,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2012,770,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2013,780,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2014,790,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2015,800,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2016,810,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2017,820,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2018,830,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2019,840,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2020,850,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2021,860,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2022,870,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2023,880,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
GFC_loss_year_2024,890,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep
RADD_year_2019,900,,disturbance_before,NA,0,0,0,float32,1,0,g_radd_year_prep
RADD_year_2020,910,,disturbance_before,NA,0,0,0,float32,1,0,g_radd_year_prep
RADD_year_2021,920,,disturbance_after,NA,0,0,0,float32,1,0,g_radd_year_prep
RADD_year_2022,930,,disturbance_after,NA,0,0,0,float32,1,0,g_radd_year_prep
RADD_year_2023,940,,disturbance_after,NA,0,0,0,float32,1,0,g_radd_year_prep
RADD_year_2024,950,,disturbance_after,NA,0,0,0,float32,1,0,g_radd_year_prep
RADD_year_2025,960,,disturbance_after,NA,0,0,0,float32,1,0,g_radd_year_prep
RADD_year_2026,970,,disturbance_after,NA,0,0,0,float32,1,0,g_radd_year_prep
DIST_year_2024,980,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_dist_year_prep
DIST_year_2025,990,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_dist_year_prep
DIST_year_2026,1000,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_dist_year_prep
GLAD-L_year_2017,1010,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-L_year_2018,1040,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-L_year_2019,1050,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-L_year_2020,1060,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-L_year_2021,1070,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-L_year_2022,1080,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-L_year_2023,1090,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-L_year_2025,1100,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-L_year_2026,1110,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_l_year_prep
GLAD-S2_year_2019,1120,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_s2_year_prep
GLAD-S2_year_2020,1130,,disturbance_before,NA,0,0,0,float32,1,0,g_glad_s2_year_prep
GLAD-S2_year_2021,1140,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_s2_year_prep
GLAD-S2_year_2022,1150,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_s2_year_prep
GLAD-S2_year_2023,1160,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_s2_year_prep
GLAD-S2_year_2024,1170,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_s2_year_prep
GLAD-S2_year_2025,1180,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_s2_year_prep
GLAD-S2_year_2026,1190,,disturbance_after,NA,0,0,0,float32,1,0,g_glad_s2_year_prep
ESA_fire_2001,1200,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2002,1210,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2003,1220,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2004,1230,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2005,1240,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2006,1250,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2007,1260,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2008,1270,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2009,1280,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2010,1290,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2011,1300,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2012,1310,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2013,1320,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2014,1330,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2015,1340,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2016,1350,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2017,1360,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2018,1370,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2019,1380,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
ESA_fire_2020,1390,,disturbance_before,NA,0,0,0,float32,1,0,g_esa_fire_prep
MODIS_fire_2000,1400,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2001,1410,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2002,1420,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2003,1430,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2004,1440,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2005,1450,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2006,1460,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2007,1470,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2008,1480,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2009,1490,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2010,1500,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2011,1510,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2012,1520,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2013,1530,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2014,1540,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2015,1550,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2016,1560,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2017,1570,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2018,1580,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2019,1590,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2020,1600,,disturbance_before,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2021,1610,,disturbance_after,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2022,1620,,disturbance_after,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2023,1630,,disturbance_after,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2024,1640,,disturbance_after,NA,0,0,0,float32,1,0,g_modis_fire_prep
MODIS_fire_2025,1650,,disturbance_after,NA,0,0,0,float32,1,0,g_modis_fire_prep
TMF_deg_before_2020,1660,,disturbance_before,NA,1,1,0,float32,1,0,g_tmf_deg_before_2020_prep
TMF_def_before_2020,1670,,disturbance_before,NA,1,1,0,float32,1,0,g_tmf_def_before_2020_prep
GFC_loss_before_2020,1680,,disturbance_before,NA,1,1,0,float32,1,0,g_glad_gfc_loss_before_2020_prep
ESA_fire_before_2020,1690,,disturbance_before,NA,0,1,0,float32,1,0,g_esa_fire_before_2020_prep
MODIS_fire_before_2020,1700,,disturbance_before,NA,0,1,0,float32,1,0,g_modis_fire_before_2020_prep
RADD_before_2020,1710,,disturbance_before,NA,1,1,0,float32,1,0,g_radd_before_2020_prep
GLAD-L_before_2020,1715,,disturbance_before,NA,1,1,0,float32,1,0,g_glad_l_before_2020_prep
GLAD-S2_before_2020,1718,,disturbance_before,NA,1,1,0,float32,1,0,g_glad_s2_before_2020_prep
TMF_deg_after_2020,1720,,disturbance_after,NA,1,1,0,float32,1,0,g_tmf_deg_after_2020_prep
TMF_def_after_2020,1730,,disturbance_after,NA,1,1,0,float32,1,0,g_tmf_def_after_2020_prep
GFC_loss_after_2020,1740,,disturbance_after,NA,1,1,0,float32,1,0,g_glad_gfc_loss_after_2020_prep
MODIS_fire_after_2020,1750,,disturbance_after,NA,0,1,0,float32,1,0,g_modis_fire_after_2020_prep
RADD_after_2020,1760,,disturbance_after,NA,1,1,0,float32,1,0,g_radd_after_2020_prep
DIST_after_2020,1770,,disturbance_after,NA,1,1,0,float32,1,0,g_glad_dist_after_2020_prep
GLAD-L_after_2020,1780,,disturbance_after,NA,1,1,0,float32,1,0,g_glad_l_after_2020_prep
GLAD-S2_after_2020,1790,,disturbance_after,NA,1,1,0,float32,1,0,g_glad_s2_after_2020_prep
GFT_primary,1800,,NA,primary,0,1,0,float32,1,0,g_gft_primary_prep
IFL_2020,1810,,NA,primary,0,1,0,float32,1,0,g_ifl_2020_prep
European_Primary_Forest,1820,,NA,primary,0,1,0,float32,1,0,g_epfd_prep
GFT_naturally_regenerating,1830,,NA,naturally_reg_2020,0,1,0,float32,1,0,g_gft_nat_reg_prep
GFT_planted_plantation,1840,,NA,planted_plantation_2020,0,1,0,float32,1,0,g_gft_plantation_prep
IIASA_planted_plantation,1850,,NA,planted_plantation_2020,0,1,0,float32,1,0,g_iiasa_planted_prep
TMF_regrowth_2023,1860,,NA,treecover_after_2020,0,1,0,float32,1,0,g_tmf_regrowth_prep
ESRI_2023_TC,1870,,NA,treecover_after_2020,0,1,0,float32,1,0,g_esri_2023_tc_prep
Oil_palm_2023_FDaP,1880,,NA,agri_after_2020,0,1,0,float32,1,0,g_fdap_palm_2023_prep
Rubber_2023_FDaP,1890,,NA,agri_after_2020,0,1,0,float32,1,0,g_fdap_rubber_2023_prep
Coffee_FDaP_2023,1900,,NA,agri_after_2020,0,1,0,float32,1,0,g_fdap_coffee_2023_prep
Cocoa_2023_FDaP,1910,,NA,agri_after_2020,0,1,0,float32,1,0,g_fdap_cocoa_2023_prep
ESRI_crop_gain_2020_2023,1920,,NA,agri_after_2020,0,1,0,float32,1,0,g_esri_2020_2023_crop_prep
GFW_logging_before_2020,1930,,NA,logging_concession,0,1,0,float32,1,0,g_logging_concessions_prep
nCO_ideam_forest_2020,1940,CO,treecover,NA,1,1,0,float32,1,0,nco_ideam_forest_2020_prep
nCO_ideam_eufo_commission_2020,1950,CO,commodities,NA,1,1,0,float32,1,0,nco_ideam_eufo_commission_2020_prep
nBR_INPE_TC_primary_forest_Amazon_2020,1960,BR,treecover,primary,1,1,0,float32,1,0,nbr_terraclass_amz20_primary_prep
nBR_INPE_TC_secondary_forest_Amazon_2020,1970,BR,treecover,naturally_reg_2020,1,1,0,float32,1,0,nbr_terraclass_amz20_secondary_prep
nBR_BFS_primary_forest_Pantanal_2020,1980,BR,treecover,primary,1,1,0,float32,1,0,nbr_bfs_ptn_f20_prep
nBR_BFS_primary_forest_Caatinga_2020,1990,BR,treecover,primary,1,1,0,float32,1,0,nbr_bfs_caat_f20_prep
nBR_BFS_primary_forest_AtlanticForest_2020,2000,BR,treecover,primary,1,1,0,float32,1,0,nbr_bfs_atlf_f20_prep
nBR_BFS_primary_forest_Pampa_2020,2010,BR,treecover,primary,1,1,0,float32,1,0,nbr_bfs_pmp_f20_prep
nBR_BFS_primary_and_secondary_forest_Cerrado_2020,2020,BR,treecover,naturally_reg_2020,1,1,0,float32,1,0,nbr_bfs_cer_f20_prep
nBR_MapBiomas_col9_forest_Brazil_2020,2030,BR,treecover,naturally_reg_2020,1,1,0,float32,1,0,nbr_mapbiomasc9_f20_prep
nBR_INPE_TCsilviculture_Amazon_2020,2040,BR,treecover,planted_plantation_2020,1,1,0,float32,1,0,nbr_terraclass_amz20_silv_prep
nBR_INPE_TCsilviculture_Cerrado_2020,2050,BR,treecover,planted_plantation_2020,1,1,0,float32,1,0,nbr_terraclass_silv_cer20_prep
nBR_MapBiomas_col9_silviculture_Brazil_2020,2060,BR,treecover,planted_plantation_2020,1,1,0,float32,1,0,nbr_mapbiomasc9_silv20_prep
nBR_PRODES_deforestation_Brazil_before_2020,2070,BR,disturbance_before,NA,1,1,0,float32,1,0,nbr_prodes_before_2020_prep
nBR_DETER_forestdegradation_Amazon_before_2020,2080,BR,disturbance_before,NA,1,1,0,float32,1,0,nbr_deter_amazon_before_2020_prep
nBR_PRODES_deforestation_Brazil_after_2020,2090,BR,disturbance_after,NA,1,1,0,float32,1,0,nbr_prodes_after_2020_prep
nBR_DETER_forestdegradation_Amazon_after_2020,2100,BR,disturbance_after,NA,1,1,0,float32,1,0,nbr_deter_amazon_after_2020_prep
nBR_INPE_TCamz_cer_perennial_2020,2110,BR,commodities,NA,1,1,0,float32,1,0,nbr_terraclass_amz_cer20_pc_prep
nBR_MapBiomas_col9_coffee_2020,2120,BR,commodities,NA,1,1,0,float32,1,0,nbr_mapbiomasc9_cof_prep
nBR_MapBiomas_col9_palmoil_2020,2130,BR,commodities,NA,1,1,0,float32,1,0,nbr_mapbiomasc9_po_prep
nBR_MapBiomas_col9_pc_2020,2140,BR,commodities,NA,1,1,0,float32,1,0,nbr_mapbiomasc9_pc_prep
nBR_INPE_TCamz_cer_annual_2020,2150,BR,commodities,NA,1,1,0,float32,1,0,nbr_terraclass_amz_cer20_ac_prep
nBR_MapBiomas_col9_soy_2020,2160,BR,commodities,NA,1,1,0,float32,1,0,nbr_mapbiomasc9_soy_prep
nBR_MapBiomas_col9_annual_crops_2020,2170,BR,commodities,NA,1,1,0,float32,1,0,nbr_mapbiomasc9_ac_prep
nBR_INPE_TCamz_pasture_2020,2180,BR,commodities,NA,1,1,0,float32,1,0,nbr_terraclass_amz20_pasture_prep
nBR_INPE_TCcer_pasture_2020,2190,BR,commodities,NA,1,1,0,float32,1,0,nbr_terraclass_cer20_ac_prep
nBR_MapBiomas_col9_pasture_2020,2200,BR,commodities,NA,1,1,0,float32,1,0,nbr_mapbiomasc9_pasture_prep
nCI_Cocoa_bnetd,2210,CI,commodities,NA,1,1,0,float32,1,0,nci_ocs2020_prep
nCM_Treecover_2020,2220,CM,treecover,NA,1,0,0,float32,1,0,ncm_treecover_2020_prep
